Date,DJJA
2022-05-25,32120.3
2022-05-26,32637.2
2022-05-27,33213.0
2022-05-31,32990.1
2022-06-01,32813.2
2022-06-02,33248.3
2022-06-03,32899.7
2022-06-06,32915.8
2022-06-07,33180.1
2022-06-08,32910.9
2022-06-09,32272.8
2022-06-10,31392.8
2022-06-13,30516.7
2022-06-14,30364.8
2022-06-15,30668.5
2022-06-16,29927.1
2022-06-17,29888.8
2022-06-21,30530.2
2022-06-22,30483.1
2022-06-23,30677.4
2022-06-24,31500.7
2022-06-27,31438.3
2022-06-28,30947.0
2022-06-29,31029.3
2022-06-30,30775.4
2022-07-01,31097.3
2022-07-05,30967.8
2022-07-06,31037.7
2022-07-07,31384.6
2022-07-08,31338.2
2022-07-11,31173.8
2022-07-12,30981.3
2022-07-13,30772.8
2022-07-14,30630.2
2022-07-15,31288.3
2022-07-18,31072.6
2022-07-19,31827.1
2022-07-20,31874.8
2022-07-21,32036.9
2022-07-22,31899.3
2022-07-25,31990.0
2022-07-26,31761.5
2022-07-27,32197.6
2022-07-28,32529.6
2022-07-29,32845.1
2022-08-01,32798.4
2022-08-02,32396.2
2022-08-03,32812.5
2022-08-04,32726.8
2022-08-05,32803.5
2022-08-08,32832.5
2022-08-09,32774.4
2022-08-10,33309.5
2022-08-11,33336.7
2022-08-12,33761.1
2022-08-15,33912.4
2022-08-16,34152.0
2022-08-17,33980.3
2022-08-18,33999.0
2022-08-19,33706.7
2022-08-22,33063.6
2022-08-23,32909.6
2022-08-24,32969.2
2022-08-25,33291.8
2022-08-26,32283.4
2022-08-29,32099.0
2022-08-30,31790.9
2022-08-31,31510.4
2022-09-01,31656.4
2022-09-02,31318.4
2022-09-06,31145.3
2022-09-07,31581.3
2022-09-08,31774.5
2022-09-09,32151.7
2022-09-12,32381.3
2022-09-13,31105.0
2022-09-14,31135.1
2022-09-15,30961.8
2022-09-16,30822.4
2022-09-19,31019.7
2022-09-20,30706.2
2022-09-21,30183.8
2022-09-22,30076.7
2022-09-23,29590.4
2022-09-26,29260.8
2022-09-27,29135.0
2022-09-28,29683.7
2022-09-29,29225.6
2022-09-30,28725.5
2022-10-03,29490.9
2022-10-04,30316.3
2022-10-05,30273.9
2022-10-06,29926.9
2022-10-07,29296.8
2022-10-10,29202.9
2022-10-11,29239.2
2022-10-12,29210.8
2022-10-13,30038.7
2022-10-14,29634.8
2022-10-17,30185.8
2022-10-18,30523.8
2022-10-19,30423.8
2022-10-20,30333.6
2022-10-21,31082.6
2022-10-24,31499.6
2022-10-25,31836.7
2022-10-26,31839.1
2022-10-27,32033.3
2022-10-28,32861.8
2022-10-31,32732.9
2022-11-01,32653.2
2022-11-02,32147.8
2022-11-03,32001.2
2022-11-04,32403.2
2022-11-07,32827.0
2022-11-08,33160.8
2022-11-09,32513.9
2022-11-10,33715.4
2022-11-11,33747.9
2022-11-14,33536.7
2022-11-15,33592.9
2022-11-16,33553.8
2022-11-17,33546.3
2022-11-18,33745.7
2022-11-21,33700.3
2022-11-22,34098.1
2022-11-23,34194.1
2022-11-25,34347.0
2022-11-28,33849.5
2022-11-29,33852.5
2022-11-30,34589.8
2022-12-01,34395.0
2022-12-02,34429.9
2022-12-05,33947.1
2022-12-06,33596.3
2022-12-07,33597.9
2022-12-08,33781.5
2022-12-09,33476.5
2022-12-12,34005.0
2022-12-13,34108.6
2022-12-14,33966.4
2022-12-15,33202.2
2022-12-16,32920.5
2022-12-19,32757.5
2022-12-20,32849.7
2022-12-21,33376.5
2022-12-22,33027.5
2022-12-23,33203.9
2022-12-27,33241.6
2022-12-28,32875.7
2022-12-29,33220.8
2022-12-30,33147.2
2023-01-03,33136.4
2023-01-04,33269.8
2023-01-05,32930.1
2023-01-06,33630.6
2023-01-09,33517.6
2023-01-10,33704.1
2023-01-11,33973.0
2023-01-12,34190.0
2023-01-13,34302.6
2023-01-17,33910.9
2023-01-18,33297.0
2023-01-19,33044.6
2023-01-20,33375.5
2023-01-23,33629.6
2023-01-24,33734.0
2023-01-25,33743.8
2023-01-26,33949.4
2023-01-27,33978.1
2023-01-30,33717.1
2023-01-31,34086.0
2023-02-01,34093.0
2023-02-02,34053.9
2023-02-03,33926.0
2023-02-06,33891.0
2023-02-07,34156.7
2023-02-08,33949.0
2023-02-09,33699.9
2023-02-10,33869.3
2023-02-13,34245.9
2023-02-14,34089.3
2023-02-15,34128.1
2023-02-16,33696.9
2023-02-17,33826.7
2023-02-21,33129.6
2023-02-22,33045.1
2023-02-23,33153.9
2023-02-24,32816.9
2023-02-27,32889.1
2023-02-28,32656.7
2023-03-01,32661.8
2023-03-02,33003.6
2023-03-03,33391.0
2023-03-06,33431.4
2023-03-07,32856.5
2023-03-08,32798.4
2023-03-09,32254.9
2023-03-10,31909.6
2023-03-13,31819.1
2023-03-14,32155.4
2023-03-15,31874.6
2023-03-16,32246.6
2023-03-17,31862.0
2023-03-20,32244.6
2023-03-21,32560.6
2023-03-22,32030.1
2023-03-23,32105.2
2023-03-24,32237.5
2023-03-27,32432.1
2023-03-28,32394.2
2023-03-29,32717.6
2023-03-30,32859.0
2023-03-31,33274.1
2023-04-03,33601.1
2023-04-04,33402.4
2023-04-05,33482.7
2023-04-06,33485.3
2023-04-10,33586.5
2023-04-11,33684.8
2023-04-12,33646.5
2023-04-13,34029.7
2023-04-14,33886.5
2023-04-17,33987.2
2023-04-18,33976.6
2023-04-19,33897.0
2023-04-20,33786.6
2023-04-21,33809.0
2023-04-24,33875.4
2023-04-25,33530.8
2023-04-26,33301.9
2023-04-27,33826.2
2023-04-28,34098.2
2023-05-01,34051.7
2023-05-02,33684.5
2023-05-03,33414.2
2023-05-04,33127.7
2023-05-05,33674.4
2023-05-08,33618.7
2023-05-09,33561.8
2023-05-10,33531.3
2023-05-11,33309.5
2023-05-12,33300.6
2023-05-15,33348.6
2023-05-16,33012.1
2023-05-17,33420.8
2023-05-18,33535.9
2023-05-19,33426.6
2023-05-22,33286.6
2023-05-23,33055.5
2023-05-24,32799.9
2023-05-25,32764.7
2023-05-26,33093.3
2023-05-30,33042.8
2023-05-31,32908.3
2023-06-01,33061.6
2023-06-02,33762.8
2023-06-05,33562.9
2023-06-06,33573.3
2023-06-07,33665.0
2023-06-08,33833.6
2023-06-09,33876.8
2023-06-12,34066.3
2023-06-13,34212.1
2023-06-14,33979.3
2023-06-15,34408.1
2023-06-16,34299.1
2023-06-20,34053.9
2023-06-21,33951.5
2023-06-22,33946.7
2023-06-23,33727.4
2023-06-26,33714.7
2023-06-27,33926.7
2023-06-28,33852.7
2023-06-29,34122.4
2023-06-30,34407.6
2023-07-03,34418.5
2023-07-05,34288.6
2023-07-06,33922.3
2023-07-07,33734.9
2023-07-10,33944.4
2023-07-11,34261.4
2023-07-12,34347.4
2023-07-13,34395.1
2023-07-14,34509.0
2023-07-17,34585.4
2023-07-18,34951.9
2023-07-19,35061.2
2023-07-20,35225.2
2023-07-21,35227.7
2023-07-24,35411.2
2023-07-25,35438.1
2023-07-26,35520.1
2023-07-27,35282.7
2023-07-28,35459.3
2023-07-31,35559.5
2023-08-01,35630.7
2023-08-02,35282.5
2023-08-03,35215.9
2023-08-04,35065.6
2023-08-07,35473.1
2023-08-08,35314.5
2023-08-09,35123.4
2023-08-10,35176.1
2023-08-11,35281.4
2023-08-14,35307.6
2023-08-15,34946.4
2023-08-16,34765.7
2023-08-17,34474.8
2023-08-18,34500.7
2023-08-21,34463.7
2023-08-22,34288.8
2023-08-23,34473.0
2023-08-24,34099.4
2023-08-25,34346.9
2023-08-28,34560.0
2023-08-29,34852.7
2023-08-30,34890.2
2023-08-31,34721.9
2023-09-01,34837.7
2023-09-05,34642.0
2023-09-06,34443.2
2023-09-07,34500.7
2023-09-08,34576.6
2023-09-11,34663.7
2023-09-12,34646.0
2023-09-13,34575.5
2023-09-14,34907.1
2023-09-15,34618.2
2023-09-18,34624.3
2023-09-19,34517.7
2023-09-20,34440.9
2023-09-21,34070.4
2023-09-22,33963.8
2023-09-25,34006.9
2023-09-26,33618.9
2023-09-27,33550.3
2023-09-28,33666.3
2023-09-29,33507.5
2023-10-02,33433.4
2023-10-03,33002.4
2023-10-04,33129.6
2023-10-05,33119.6
2023-10-06,33407.6
2023-10-09,33604.6
2023-10-10,33739.3
2023-10-11,33804.9
2023-10-12,33631.1
2023-10-13,33670.3
2023-10-16,33984.5
2023-10-17,33997.6
2023-10-18,33665.1
2023-10-19,33414.2
2023-10-20,33127.3
2023-10-23,32936.4
2023-10-24,33141.4
2023-10-25,33035.9
2023-10-26,32784.3
2023-10-27,32417.6
2023-10-30,32929.0
2023-10-31,33052.9
2023-11-01,33274.6
2023-11-02,33839.1
2023-11-03,34061.3
2023-11-06,34095.9
2023-11-07,34152.6
2023-11-08,34112.3
2023-11-09,33891.9
2023-11-10,34283.1
2023-11-13,34337.9
2023-11-14,34827.7
2023-11-15,34991.2
2023-11-16,34945.5
2023-11-17,34947.3
2023-11-20,35151.0
2023-11-21,35088.3
2023-11-22,35273.0
2023-11-24,35390.1
2023-11-27,35333.5
2023-11-28,35417.0
2023-11-29,35430.4
2023-11-30,35950.9
2023-12-01,36245.5
2023-12-04,36204.4
2023-12-05,36124.6
2023-12-06,36054.4
2023-12-07,36117.4
2023-12-08,36247.9
2023-12-11,36404.9
2023-12-12,36577.9
2023-12-13,37090.2
2023-12-14,37248.4
2023-12-15,37305.2
2023-12-18,37306.0
2023-12-19,37557.9
2023-12-20,37082.0
2023-12-21,37404.4
2023-12-22,37386.0
2023-12-26,37545.3
2023-12-27,37656.5
2023-12-28,37710.1
2023-12-29,37689.5
2024-01-02,37715.0
2024-01-03,37430.2
2024-01-04,37440.3
2024-01-05,37466.1
2024-01-08,37683.0
2024-01-09,37525.2
2024-01-10,37695.7
2024-01-11,37711.0
2024-01-12,37593.0
2024-01-16,37361.1
2024-01-17,37266.7
2024-01-18,37468.6
2024-01-19,37863.8
2024-01-22,38001.8
2024-01-23,37905.4
2024-01-24,37806.4
2024-01-25,38049.1
2024-01-26,38109.4
2024-01-29,38333.4
2024-01-30,38467.3
2024-01-31,38150.3
2024-02-01,38519.8
2024-02-02,38654.4
2024-02-05,38380.1
2024-02-06,38521.4
2024-02-07,38677.4
2024-02-08,38726.3
2024-02-09,38671.7
2024-02-12,38797.4
2024-02-13,38272.8
2024-02-14,38424.3
2024-02-15,38773.1
2024-02-16,38628.0
2024-02-20,38563.8
2024-02-21,38612.2
2024-02-22,39069.1
2024-02-23,39131.5
2024-02-26,39069.2
2024-02-27,38972.4
2024-02-28,38949.0
2024-02-29,38996.4
2024-03-01,39087.4
2024-03-04,38989.8
2024-03-05,38585.2
2024-03-06,38661.1
2024-03-07,38791.4
2024-03-08,38722.7
2024-03-11,38769.7
2024-03-12,39005.5
2024-03-13,39043.3
2024-03-14,38905.7
2024-03-15,38714.8
2024-03-18,38790.4
2024-03-19,39110.8
2024-03-20,39512.1
2024-03-21,39781.4
2024-03-22,39475.9
2024-03-25,39313.6
2024-03-26,39282.3
2024-03-27,39760.1
2024-03-28,39807.4
2024-04-01,39566.9
2024-04-02,39170.2
2024-04-03,39127.1
2024-04-04,38597.0
2024-04-05,38904.0
2024-04-08,38892.8
2024-04-09,38883.7
2024-04-10,38461.5
2024-04-11,38459.1
2024-04-12,37983.2
2024-04-15,37735.1
2024-04-16,37799.0
2024-04-17,37753.3
2024-04-18,37775.4
2024-04-19,37986.4
2024-04-22,38240.0
2024-04-23,38503.7
2024-04-24,38460.9
2024-04-25,38085.8
2024-04-26,38239.7
2024-04-29,38386.1
2024-04-30,37815.9
2024-05-01,37903.3
2024-05-02,38225.7
2024-05-03,38675.7
2024-05-06,38852.3
2024-05-07,38884.3
2024-05-08,39056.4
2024-05-09,39387.8
2024-05-10,39512.8
2024-05-13,39431.5
2024-05-14,39558.1
2024-05-15,39908.0
2024-05-16,39869.4
2024-05-17,40003.6
2024-05-20,39806.8
2024-05-21,39873.0
2024-05-22,39671.0
2024-05-23,39065.3
2024-05-24,39069.6
2024-05-28,38852.9
2024-05-29,38441.5
2024-05-30,38111.5
2024-05-31,38686.3
2024-06-03,38571.0
2024-06-04,38711.3
2024-06-05,38807.3
2024-06-06,38886.2
2024-06-07,38799.0
2024-06-10,38868.0
2024-06-11,38747.4
2024-06-12,38712.2
2024-06-13,38647.1
2024-06-14,38589.2
2024-06-17,38778.1
2024-06-18,38834.9
2024-06-20,39134.8
2024-06-21,39150.3
2024-06-24,39411.2
2024-06-25,39112.2
2024-06-26,39127.8
2024-06-27,39164.1
2024-06-28,39118.9
2024-07-01,39169.5
2024-07-02,39331.9
2024-07-03,39308.0
2024-07-05,39375.9
2024-07-08,39344.8
2024-07-09,39292.0
2024-07-10,39721.4
2024-07-11,39753.8
2024-07-12,40000.9
2024-07-15,40211.7
2024-07-16,40954.5
2024-07-17,41198.1
2024-07-18,40665.0
2024-07-19,40287.5
2024-07-22,40415.4
2024-07-23,40358.1
2024-07-24,39853.9
2024-07-25,39935.1
2024-07-26,40589.3
2024-07-29,40539.9
2024-07-30,40743.3
2024-07-31,40842.8
2024-08-01,40348.0
2024-08-02,39737.3
2024-08-05,38703.3
2024-08-06,38997.7
2024-08-07,38763.4
2024-08-08,39446.5
2024-08-09,39497.5
2024-08-12,39357.0
2024-08-13,39765.6
2024-08-14,40008.4
2024-08-15,40563.1
2024-08-16,40659.8
2024-08-19,40896.5
2024-08-20,40835.0
2024-08-21,40890.5
2024-08-22,40712.8
2024-08-23,41175.1
2024-08-26,41240.5
2024-08-27,41250.5
2024-08-28,41091.4
2024-08-29,41335.1
2024-08-30,41563.1
2024-09-03,40936.9
2024-09-04,40975.0
2024-09-05,40755.8
2024-09-06,40345.4
2024-09-09,40829.6
2024-09-10,40737.0
2024-09-11,40861.7
2024-09-12,41096.8
2024-09-13,41393.8
2024-09-16,41622.1
2024-09-17,41606.2
2024-09-18,41503.1
2024-09-19,42025.2
2024-09-20,42063.4
2024-09-23,42124.6
2024-09-24,42208.2
2024-09-25,41914.8
2024-09-26,42175.1
2024-09-27,42313.0
2024-09-30,42330.1
2024-10-01,42157.0
2024-10-02,42196.5
2024-10-03,42011.6
2024-10-04,42352.8
2024-10-07,41954.2
2024-10-08,42080.4
2024-10-09,42512.0
2024-10-10,42454.1
2024-10-11,42863.9
2024-10-14,43065.2
2024-10-15,42740.4
2024-10-16,43077.7
2024-10-17,43239.1
2024-10-18,43275.9
2024-10-21,42931.6
